revrId,revrName,revrDate,revrText,revrStar,revrSource,revrExperience_Positive_or_Negative,restId
V000000001,Maddie S.,11/7/21,"Our server was pleasant and the restaurant was cool, however, we waited far too long for food.  The restaurant was not packed full, but the kitchen was backed up to the point where it took over an hour for us to get our meal.  Then when it arrived, the food was over cooked and simultaneously cold, as if it was sitting in the window waiting for who knows how long after how long it took to even get it on a plate.  No one at the table even ordered anything that should have taken that long to make, nor would be a challenge to get out to the table.  My avocado toast was soggy and cold, with luke warm and boiled through ""poached eggs.""  Same with two others at the table.  I try to be patient but have worked in the restaurant industry for years, it should AT LEAST have been obvious to someone in the kitchen that the amount of time the eggs were cooked would overcook and ruin them.  Easy fix yet the food still came out like that, bummer.",2,Yelp,N,R100000
V000000002,Abby W.,11/5/21,"I love this place. Great drinks, great food, and fantastic service. My bartender Nikki was extremely attentive and her drinks tasted literally amazing. Back to the food. So amazing and yummy you can tell that the food is baked fresh; nothing frozen. The only thing that I'm really torn up about is that the wings got taken off the menu. The triple cooked chicken wings were the only things that got me through dark times. I really hope that they will be brought back. Please, if you are in charge of the menu and you are seeing this, bring these back. I'll be forever grateful.",5,Yelp,P,R100000
V000000003,Amanda S.,11/4/21,Had a great experience! Great food and great service on Sunday for Halloween. My bartender's name was M.P. I think and she was great!,5,Yelp,P,R100000
V000000004,Diane T.,11/4/21,"OMG!  What an incredible find in College Park!!  We went there before a basketball game--our first time and definitely not our last.  The pizza was SENSATIONAL!  Homemade think crust--so tasty.  We ordered the BBQ chicken, which had a wonderfully rich BBQ sauce and a lot of chicken.  We also got the Carnivore--and the meats were so flavorful.  

The manager stopped by and answered questions.  He was doing an outstanding job with the staff--giving them highlights of the menu and then the chef brought out each dish for the staff to try so they could describe it better.  ALL of the foods looked so delicious.  The manager sent out a complimentary cauliflower Rueben to try--even my husband who hates cauliflower loved it!  Very creative menu!  I noticed the staff kept going back to the blackened chicken mac and cheese, over and over.  Next trip!

There is a HUGE outdoor space, but the inside area has incredibly tall ceilings.  Feels very spacious.  Fabulous food, great service.  I look forward to eating our way through the entire menu!

The place is easy to find--it's the big grey building behind The Hotel, across from the University of Maryland campus, on Hotel Street, off Route 1.",5,Yelp,P,R100000
V000000005,Megan T.,11/4/21,"This past Sunday, I had the best experience at the Hall! MP was my server/bartender and she was AMAZING!!! Service was great and food was awesome! Definitely would go back!",5,Yelp,P,R100000
V000000006,Gabrielle B.,10/20/21,"I've only been here a few times but each time I've gone it has been a bad experience. The food is overpriced and honestly pretty bad. I got the handmade soft pretzel and it was like an unseasoned bread stick. The fried chicken sandwich on the donut was horrible as well, dry chicken and dry donut. Their brunch food seemed to be decent but the service when I went was horrid. No one came to take our order for over 20 minutes and my friend was served the wrong drink but no one came once everything was delivered until it was time to get the check so she couldn't even get her drink changed. I do not recommend this place at all.",2,Yelp,N,R100000
V000000007,Frank C.,10/17/21,"My 5 friends and I went there for one of my friends birthdays and had the worst service I have every had in my entire life. The first sign was when I said my Sierra Mist tasted like seltzer and she asked me to try my other friends Pepsi to see if that one tasted similar. Secondly, after taking our appetizer orders she waited 45 minutes to even ask if we wanted something for dinner. There was a band playing and we could visibly see her dancing with her friends while ignoring us at the table. Then as we are eating she asked if we could pay early so that she could leave. Unknowing what to do, she took our card immediately and made us pay while we had gotten our meals 15 minutes beforehand. When my friend payed for the dinner herself she gave me a dirty look as if I did something wrong. The fact that we spent over $150 and she asked if we could do her a favor and pay early so that she could leave is absolutely disgraceful. I'm not sure how she has a job serving people when she can't even be nice to them. So she left, leaving us with no way to order dessert, no way to refill drinks, and no way to get boxes to bring food home. We didn't even get a chance to get the birthday girl a cake before our service was cut. We went to the manager to say something because the service was so terrible and while we were doing that she walked up to the conversation and said ""oh is it about me?'. The worst part is that all the manager did was say that he's sorry and she should have been more attentive. Then again in the parking lot she got into a verbal altercation with me, the paying customer. Absolutely disgusting. I do not recommend this place at all, the atmosphere is nice, food is okay, but the service is so bad I wouldn't even bother giving it a try.",1,Yelp,N,R100000
V000000008,Adina M.,10/16/21,"This place has so much potential. First they should better the service because we waited a while for our food and no one came to check on us. Second we ordered the pretzels which were way too greasy, it was dripping all over me. The Avocado toast Benedict was not proportioned well. The tomato slices were way too large, the toast was too burnt, the flavor just wasn't good. I was very underwhelmed here. I do not need to return. It gets 2 stars because it was very cute and the security guard was very nice.",2,Yelp,N,R100000
V000000009,Eleni H.,10/11/21,"This is my first review on yelp. The vibe and the place is nice to just sit and talk. But the food was soooo bad, I had to return the birria Raman. The mozzarella stick was burnt and it didn't have cheese at all. It's just not it. When I got to my car I threw up.",1,Yelp,N,R100000
V000000010,"
Lori D.",10/11/21,"Won't be back.

Had a 11:45a reservation and was seated immediately. Our server checked in quickly and took our drink orders. So far, so good. That's where the good ended.

When the server brought our drinks, he had handled them at the rim and spilled quite a bit. It was quite the mess. Unfortunately, because our server rarely checked on us, we had to get up to get our own napkins to clean up.

We waited for over an hour for our food and when we got our food, it was cold and hard (toast was almost inedible).

For the price point, it was not worth it. Great ambience and venue. Horrible service.",1,Yelp,N,R100000
